customer_id,first_name,last_name,email,phone_number,gender,dob,signup_date,address,city,state,country,device_id(s),source
2e3d574b-57eb-4418-a778-9e84c7654689, Caitlin, Hernandez,,+1-959-000-2424x3019,M,21/07/1993,5/10/2016,639 Jennifer Creek,Lake Barbara,New Jersey,Gabon,6833302d-edc0-4a1f-8fae-a35ee4d0bd97,web
d3c04894-f805-4baf-85d4-e80b4b5fec1b,Jose ,Kirk ,jose.kirk811@hotmail.com,+1-631-072-5576x19258,M,22/05/1987,29/07/2024,25702 Justin Oval,Davidchester,Oklahoma,Zimbabwe,29a54a9c-27b8-4d5d-8aa2-e06f36e9b0f0,referral
2439ae33-15a4-4c7c-b3bf-338e188b43d6,Juan,Morrison,juan.morrison045@hotmail.com,4027230113,M,21/12/1967,3/06/2024,435 Klein Village,New Lisaville,New Hampshire,Italy,0cc5b8ca-c421-4005-9658-1cedde553d2f,referral
05a628f8-8e6b-44c8-ad11-d19c2dd42318,Lauren,Parker,lauren.parker063@hotmail.com,133-970-4145,F,15/07/2007,7/03/2018,229 Anthony Station Apt. 067,North Dorisburgh,Iowa,Zimbabwe,e48ca212-9068-4ea9-a3de-b58f7c271687,web
3d12e6c6-cad4-4b98-b3b5-3ebf02623777,KEVIN,Ha0rt,kevin.hart924@gmail.com,+1-822-082-7385x4001,F,24/01/1960,10/08/2024,252 Castillo Mount,Shawnshire,Colorado,Saint Martin,fc2c22f5-941b-41e7-9485-2bef6ff7c31d,app
f910cfc3-7bab-4e80-8668-a4bcadc5c723,Samantha,Rivera,samantha.rivera204@gmail.com,(008)807-7361x556,F,30/07/1975,2/02/2020,10167 Wilson Villages,West Amy,Arizona,Bolivia,d2e41bf4-a3aa-4c0d-acc8-cb3e831de9a0,app
1741a0ce-c436-4986-923b-f13e6a9bee30,michael,sMITH,michael.smith683@hotmail.com,573.704.9594x1788,M,21/11/1960,8/08/2018,625 Fields Greens,East Josephville,Nebraska,Uruguay,03edf5c4-526d-4ebe-bf3c-37fa92e773d5,web
6e2c9970-1682-4ec0-9230-d9f877746be1,Jonathan,Smith,jonathan.smith033@yahoo.com,+1-713-117-6830x785,M,22/10/1958,4/11/2018,771 Lori Street,Millerton,New Mexico,Trinidad and Tobago,2783a5f7-bf03-4516-9a15-99c88c887f65,web
7ef7cdc9-fb00-41cd-8288-e43a29e0613f,Cheyenne,Wallace,cheyenne.wallace920@yahoo.com,(858)823-7521,F,7/02/1961,22/03/2019,048 Cruz Crescent,Lake Kimberlyburgh,New York,Algeria,3644a604-d6bf-4d65-b2f4-05db96e4cecd,referral
442e20e0-d712-4cff-b3bb-bc2d1e69381d,Dana ,Smith ,dana.smith630@yahoo.com,(463)448-8643x4316,F,25/03/1997,28/07/2015,9227 Lynn Key Suite 039,West Danny,Maryland,Singapore,3778d2bf-8f5a-4a0a-bdce-bf7ea2ca6b75,referral
717a815f-8d39-4a77-a291-7408e2c77d05,Andrew,Gordon,andrew.gordon168@yahoo.com,114.577.1224,M,18/07/1957,25/06/2021,368 Adams Harbors,Johnsonville,Missouri,Mayotte,c11317f9-e139-44b5-a1ab-87e4b1f26e7c,referral
a0b4f882-3ef9-48f0-90af-84e13f49cd09,travis,Thomas ,travis.thomas295@yahoo.com,(801)014-6998x3412,F,3/02/1993,31/07/2017,85752 Sherry Mall,Craigberg,Nevada,United States Minor Outlying Islands,54d4287c-5765-49cc-b45b-333ac2b1ff52,app
0f7fc00e-1c66-46a8-a4b1-78bd3eb17958,Donna,Kirby,donna.kirby822@gmail.com,760-477-3598x5166,F,14/02/1992,7/11/2016,766 Mendoza Garden Suite 319,North Jenniferhaven,Arizona,Madagascar,31f86a2c-0ab3-4813-8194-3704174d7cc5,referral
94ace4e8-5206-4b15-8acf-41a74bca0b47,CHRIS, Riley,shared1544@yahoo.com,432.270.3188x08867,M,4/12/1967,18/02/2017,615 Susan Throughway,Angelaview,Arizona,Malaysia,12422f68-bc94-42cc-b3ad-b1af25d7e434,app
e9540f7e-53c0-4e07-8732-c6ec98d05b0a,Tina,Alvarez,tina.alvarez727@hotmail.com,+1-100-400-1071x4180,F,6/04/2000,17/08/2019,55746 Gay Ways Suite 373,Adkinsborough,Delaware,Lebanon,231eb55a-ef9c-4056-ab99-86033e69d8c4,referral
f35ede95-7fe7-429c-a59f-52f841303448,JJeennnifer,Morrison ,jennifer.morrison166@yahoo.com,(625)482-6724x818,M,19/12/1975,22/06/2014,8500 Gregory Cliffs Suite 000,Westville,Texas,Belgium,f27ab3be-04be-44f5-a598-49ef3e280f94,referral
06ce850f-ff94-4722-af1c-19976ce1e682,Tara*,AVILA,tara.avila643@hotmail.com,(871)951-7223x7077,M,6/09/1969,8/01/2016,96344 Bruce Ports,New Stephen,Kansas,Ireland,424f4ee1-8333-4707-a697-f10962b5e46b,web
b158691e-1fea-4ace-890f-f0dac007f18d,Jessica,Moreno,jessica.moreno028@yahoo.com,344.140.5757,F,25/10/1971,9/12/2023,85204 Amanda Falls,North Kristinchester,Illinois,Mayotte,284baebe-59f6-4fb9-ba84-08f1376db7fa,web
ea3babf0-6ef8-4cbc-ab6c-4b8204e72cc5,Elizabeth,Jones,elizabeth.jones285@gmail.com,(102)655-7918x0572,M,4/09/1985,7/08/2021,95850 Sheryl Meadow,Kellyland,California,China,515479fe-327b-4101-84e5-6bb76c02e825,app
ae898c4b-08a6-4735-90d8-0a12a962fe28,Tim,Marshall,tim.marshall986@hotmail.com,(288)685-6959,F,4/05/2007,18/02/2016,5484 Rodriguez Track Suite 166,Mayoberg,Iowa,Myanmar,2595888c-718a-4672-9a71-1f3a5f0d9298,app
4375cc64-a523-46b9-a87b-a34e5be6c014,Jason ,Thompson*,gabriella.crosby921@hotmail.com,240-319-5667x4475,F,5/03/1965,1/01/2014,52798 CALEB MEADOW APT. 352,Comptonmouth,Alaska,Korea,c8d127a3-3d86-42db-87dc-33040ce1031a,web
23c4359f-24e5-4233-bc48-c19b724ce07f,Tina,Carter,shared1788@gmail.com,001-986-706-3302x097,O,18/10/1998,25/08/2021,86706 Turner Fort,Hernandezfurt,Vermont,Norfolk Island,f3b67d1f-8266-4bc3-b86a-fdd53c7925ee,web
9a285a3e-29d4-4048-8728-97ad95f8346a,Amy,Warren,amy.warren008@hotmail.com,(390)656-5627,F,15/08/2001,15/07/2015,186 Lane Station,North Samantha,Louisiana,Brazil,db185306-aa75-4cee-b643-e66199f13ff1,web
119db8c2-545d-4feb-b9d5-b9269358a74f,Tanya,Mckay,tanya.mckay547@yahoo.com,(063)754-7231x0004,F,11/06/1996,6/07/2019,90652 Joseph Burg Apt. 845,West Kyleshire,Louisiana,Eritrea,ec62d6eb-9bc1-453d-9a3f-2db8fdc464ec,referral
9dd97621-1fdb-4854-8a4c-ca2f4c3e7d32,Lawrence,Brown,lawrence.brown930@yahoo.com,(536)861-2563x78937,M,17/10/1999,12/04/2015,20089 Christine Inlet Suite 563,Deannahaven,Arizona,Tuvalu,8ccad4fe-173a-4770-a719-5d515c05dc73,app
0c235ee1-7e4e-412a-921c-2ebf7048954d,mELINDA, Miranda,melinda.miranda459@gmail.com,869-768-0679,M,18/08/1996,7/11/2021,4385 Sanders Ramp Suite 693,North Dillon,Idaho,Grenada,5f11aa98-d4b0-4f01-80d0-ac1eb931c6b4,web
ac66a771-49b4-4aac-837b-9e7321e90daf,Lori,King,lori.king997@gmail.com,-8020,F,15/05/1959,12/10/2014,666 Gray Fort Apt. 650,Rachelmouth,Rhode Island,Uganda,61b3d014-8c49-4573-935e-d46d33fc8467,referral
43e7a27e-0ad5-407f-8d0e-5df833b9a303,Diana,Watkins,diana.watkins320@gmail.com,570-173-8500x25110,F,5/03/1983,28/02/2023,322 Cook Pine Suite 407,South Margaret,Tennessee,Montenegro,7cdf3301-5b34-4e37-8761-926b64baa34c,app
43e7a27e-0ad5-407f-8d0e-5df833b9a303,Diana,Watkins,diana.watkins320@gmail.com,570-173-8500x25110,F,5/03/1983,28/02/2023,322 Cook Pine Suite 407,South Margaret,Tennessee,Montenegro,7cdf3301-5b34-4e37-8761-926b64baa34c,app
43e7a27e-0ad5-407f-8d0e-5df833b9a303,Diana,Watkins,diana.watkins320gmail.com,570-173-8500x25110,F,5/03/1983,28/02/2023,322 Cook Pine Suite 407,South Margaret,Tennessee,Montenegro,7cdf3301-5b34-4e37-8761-926b64baa34c,app
43e7a27e-0ad5-407f-8d0e-5df833b9a303,Diana,Watkins,diana.watkins320@gmail,570-173-8500x25110,F,5/03/1983,28/02/2023,322 Cook Pine Suite 407,South Margaret,Tennessee,Montenegro,7cdf3301-5b34-4e37-8761-926b64baa34c,app
43e7a27e-0ad5-407f-8d0e-5df833b9a303,Diana,Watkins,diana.watkins320@gmail.com,570-173-8500x25110,F,41/23/1983,28/02/2023,322 Cook Pine Suite 407,South Margaret,Tennessee,Montenegro,7cdf3301-5b34-4e37-8761-926b64baa34c,app
43e7a27e-0ad5-407f-8d0e-5df833b9a303,Diana,Watkins,diana.watkins320@gmail.com,570-173-8500x25110,F,5/03/1983,56/42/2023,322 Cook Pine Suite 407,South Margaret,Tennessee,Montenegro,7cdf3301-5b34-4e37-8761-926b64baa34c,app
